Municipality,ref: ISTAT,Waste type,Quantity,category
Preore,4022148,Organic Fraction (t),"44,577",1
Prezzo,4022149,Organic Fraction (t),"20,427",1
Rabbi,4022150,Organic Fraction (t),"123,814",1
Ragoli,4022151,Organic Fraction (t),"163,947",1
Revo,4022152,Organic Fraction (t),"119,607",1
Riva del Garda,4022153,Organic Fraction (t),"2.324,704",1
Romallo,4022154,Organic Fraction (t),"60,327",1
Romeno,4022155,Organic Fraction (t),"155,726",1
Roncegno Terme,4022156,Organic Fraction (t),"154,452",1
Ronchi Valsugana,4022157,Organic Fraction (t),"22,664",1
Roncone,4022158,Organic Fraction (t),"180,544",1
Ronzo-Chienis,4022135,Organic Fraction (t),"140,816",1
Ronzone,4022159,Organic Fraction (t),"78,054",1
Rovere della Luna,4022160,Organic Fraction (t),"158,028",1
Rovereto,4022161,Organic Fraction (t),"4.898,288",1
Ruffre-Mendola,4022162,Organic Fraction (t),"59,851",1
Rumo,4022163,Organic Fraction (t),"90,443",1
Sagron Mis,4022164,Organic Fraction (t),"19,834",1
Samone,4022165,Organic Fraction (t),"35,719",1
San Lorenzo Dorsino,4022231,Organic Fraction (t),"209,589",1
San Michele all\'Adige,4022167,Organic Fraction (t),"405,182",1
Sant\'Orsola Terme,4022168,Organic Fraction (t),"115,251",1
Sanzeno,4022169,Organic Fraction (t),"91,777",1
Sarnonico,4022170,Organic Fraction (t),"91,968",1
Scurelle,4022171,Organic Fraction (t),"315,857",1
Segonzano,4022172,Organic Fraction (t),"101,334",1
Sfruz,4022173,Organic Fraction (t),"45,365",1
Siror,4022174,Organic Fraction (t),"232,571",1
Soraga,4022176,Organic Fraction (t),"95,692",1
Sover,4022177,Organic Fraction (t),"61,604",1
Spera,4022178,Organic Fraction (t),"55,279",1
Spiazzo,4022179,Organic Fraction (t),"194,161",1
Spormaggiore,4022180,Organic Fraction (t),"147,887",1
Sporminore,4022181,Organic Fraction (t),"67,570",1
Stenico,4022182,Organic Fraction (t),"160,968",1
Storo,4022183,Organic Fraction (t),"501,842",1
Strembo,4022184,Organic Fraction (t),"91,921",1
Strigno,4022185,Organic Fraction (t),"111,415",1
Tassullo,4022187,Organic Fraction (t),"179,458",1
Telve,4022188,Organic Fraction (t),"174,355",1
Telve di Sopra,4022189,Organic Fraction (t),"28,072",1
Tenna,4022190,Organic Fraction (t),"126,780",1
Tenno,4022191,Organic Fraction (t),"247,484",1
Terlago,4022192,Organic Fraction (t),"227,127",1
Terragnolo,4022193,Organic Fraction (t),"37,557",1
Terres,4022194,Organic Fraction (t),"31,640",1
Terzolas,4022195,Organic Fraction (t),"65,969",1
Tesero,4022196,Organic Fraction (t),"542,152",1
Tione di Trento,4022199,Organic Fraction (t),"393,111",1
Ton,4022200,Organic Fraction (t),"128,469",1
Tonadico,4022201,Organic Fraction (t),"178,926",1
Torcegno,4022202,Organic Fraction (t),"38,807",1
Trambileno,4022203,Organic Fraction (t),"119,514",1
Transacqua,4022204,Organic Fraction (t),"227,131",1
Trento,4022205,Organic Fraction (t),"15.972,080",1
Tuenno,4022207,Organic Fraction (t),"234,543",1
Valda,4022208,Organic Fraction (t),"10,813",1
Valdaone,4022232,Organic Fraction (t),"139,370",1
Valfloriana,4022209,Organic Fraction (t),"76,132",1
Vallarsa,4022210,Organic Fraction (t),"42,939",1
Varena,4022211,Organic Fraction (t),"165,835",1
Vattaro,4022212,Organic Fraction (t),"130,734",1
Vermiglio,4022213,Organic Fraction (t),"253,268",1
Vezzano,4022215,Organic Fraction (t),"193,102",1
Vignola-Falesina,4022216,Organic Fraction (t),"21,492",1
Vigo di Fassa,4022217,Organic Fraction (t),"218,761",1
Vigo Rendena,4022220,Organic Fraction (t),"62,771",1
Vigolo Vattaro,4022219,Organic Fraction (t),"236,295",1
Villa Agnedo,4022221,Organic Fraction (t),"61,740",1
Villa Lagarina,4022222,Organic Fraction (t),"370,401",1
Villa Rendena,4022223,Organic Fraction (t),"113,518",1
Volano,4022224,Organic Fraction (t),"396,149",1
Zambana,4022225,Organic Fraction (t),"208,586",1
Ziano di Fiemme,4022226,Organic Fraction (t),"330,992",1
Zuclo,4022227,Organic Fraction (t),"40,641",1
Ala,4022001,Organic Fraction (t),"936,562",1
Albiano,4022002,Organic Fraction (t),"181,140",1
Aldeno,4022003,Organic Fraction (t),"373,587",1
Altavalle,4022235,Organic Fraction (t),"217,393",1
Altopiano Della Vigolana,4022236,Organic Fraction (t),"490,557",1
Amblar-Don,4022237,Organic Fraction (t),"65,271",1
Andalo,4022005,Organic Fraction (t),"485,049",1
Arco,4022006,Organic Fraction (t),"2.309,430",1
Avio,4022007,Organic Fraction (t),"413,374",1
Baselga di Pine,4022009,Organic Fraction (t),"654,810",1
Bedollo,4022011,Organic Fraction (t),"184,898",1
Besenello,4022013,Organic Fraction (t),"233,046",1
Bieno,4022015,Organic Fraction (t),"33,003",1
Bleggio Superiore,4022017,Organic Fraction (t),"175,132",1
Bocenago,4022018,Organic Fraction (t),"50,122",1
Bondone,4022021,Organic Fraction (t),"71,153",1
Borgo Chiese,4022238,Organic Fraction (t),"198,914",1
Borgo Lares,4022239,Organic Fraction (t),"73,708",1
Borgo Valsugana,4022022,Organic Fraction (t),"504,875",1
Brentonico,4022025,Organic Fraction (t),"461,419",1
Bresimo,4022026,Organic Fraction (t),"26,539",1
Brez,4022027,Organic Fraction (t),"83,407",1
Caderzone Terme,4022029,Organic Fraction (t),"105,453",1
Cagno,4022030,Organic Fraction (t),"35,761",1
Calceranica al Lago,4022032,Organic Fraction (t),"246,361",1
Caldes,4022033,Organic Fraction (t),"50,343",1
Caldonazzo,4022034,Organic Fraction (t),"488,716",1
Calliano,4022035,Organic Fraction (t),"235,832",1
Campitello di Fassa,4022036,Organic Fraction (t),"247,703",1
Campodenno,4022037,Organic Fraction (t),"156,465",1
Canal San Bovo,4022038,Organic Fraction (t),"190,458",1
Canazei,4022039,Organic Fraction (t),"676,402",1
Capriana,4022040,Organic Fraction (t),"97,846",1
Carano,4022041,Organic Fraction (t),"307,289",1
Carisolo,4022042,Organic Fraction (t),"205,106",1
Carzano,4022043,Organic Fraction (t),"36,805",1
Castel Condino,4022045,Organic Fraction (t),"23,980",1
Castel Ivano,4022240,Organic Fraction (t),"240,705",1
Castelfondo,4022046,Organic Fraction (t),"70,394",1
Castello Tesino,4022048,Organic Fraction (t),"107,977",1
Castello-Molina di Fiemme,4022047,Organic Fraction (t),"411,214",1
Castelnuovo,4022049,Organic Fraction (t),"75,906",1
Cavalese,4022050,Organic Fraction (t),"874,681",1
Cavareno,4022051,Organic Fraction (t),"143,042",1
Cavedago,4022052,Organic Fraction (t),"81,231",1
Cavedine,4022053,Organic Fraction (t),"368,918",1
Cavizzana,4022054,Organic Fraction (t),"12,731",1
Cembra Lisignago,4022241,Organic Fraction (t),"300,467",1
Cimone,4022058,Organic Fraction (t),"69,224",1
Cinte Tesino,4022059,Organic Fraction (t),"29,128",1
Cis,4022060,Organic Fraction (t),"31,969",1
