Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2021 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Valle Aurina;04021108;Comune;785,115;99,100;406,981;14,003;79,150;99,908;109,642;11,041;24,165;25,052;252,047;69,470;47,670;;
Valle di Casies;04021109;Comune;315,200;14,200;146,078;7,696;42,420;42,112;67,728;8,470;10,306;8,826;110,976;35,100;;;
Vandoies;04021110;Comune;431,650;132,940;220,219;5,065;1,780;42,512;38,676;23,327;14,436;19,644;100,276;49,440;358,300;;
Varna;04021111;Comune;722,273;49,926;536,473;4,920;108,058;44,485;50,732;26,356;17,100;25,635;252,896;39,240;;;
Velturno;04021116;Comune;237,080;22,836;140,785;0,780;24,265;17,700;45,210;5,679;5,200;11,713;101,045;3,720;34,430;;
Verano;04021112;Comune;17,690;;37,360;0,460;6,440;5,460;2,640;3,405;1,990;3,700;30,000;;;;
Villabassa;04021113;Comune;134,370;5,010;92,608;5,304;13,244;45,013;22,216;9,097;6,582;6,961;54,184;14,356;;;
Villandro;04021114;Comune;145,820;11,050;85,925;0,390;18,450;11,583;23,474;8,109;4,572;3,050;70,030;24,390;51,730;;
Vipiteno;04021115;Comune;703,190;57,810;693,870;0,040;108,650;108,990;200,240;68,774;44,077;54,936;307,590;78,650;;;


			



