Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);;
Tre Ville;04022247;Comune;202,519;;131,561;88,704;52,351;24,524;54,919;17,574;4,483;3,241;99,105;20,940;;;
Trento;04022205;Comune;18.858,600;;9.576,902;507,614;2.287,405;1.178,427;4.154,854;758,816;199,229;387,590;4.696,720;1.774,320;1.190,960;;
Valdaone;04022232;Comune;112,869;;73,323;49,438;29,177;13,668;30,607;9,793;2,499;1,806;55,234;17,400;;;
Valfloriana;04022209;Comune;84,504;;36,195;2,521;9,276;4,845;13,078;3,980;1,285;1,205;18,555;;;;
Vallarsa;04022210;Comune;51,885;38,349;67,436;5,751;0,542;7,082;50,404;12,103;1,660;6,950;73,000;;;;
Vallelaghi;04022248;Comune;636,462;;392,158;27,184;137,063;72,309;235,116;36,860;6,589;20,821;220,717;75,975;;;
Varena;04022211;Comune;195,625;;83,790;5,835;21,475;11,217;30,275;9,213;2,972;2,791;42,956;;;;
Vermiglio;04022213;Comune;296,845;;134,846;10,200;61,060;53,324;79,640;15,226;3,245;5,089;127,720;27,495;;;
Vignola-Falesina;04022216;Comune;50,201;;17,684;1,140;5,207;3,095;5,985;1,666;0,590;0,917;9,363;2,595;;;
Villa d\'Anaunia;04022249;Comune;498,316;;305,093;42,770;191,820;85,596;138,298;43,222;15,233;12,470;176,236;72,465;;;
Villa Lagarina;04022222;Comune;428,743;124,789;206,606;18,466;110,906;49,624;127,228;34,140;8,682;8,616;138,600;57,645;;;
Volano;04022224;Comune;421,157;92,130;188,628;15,336;84,436;46,781;136,839;24,107;7,295;7,960;104,770;45,525;;;
Zambana;04022225;Comune;213,175;;131,348;9,104;45,908;24,220;78,750;12,346;2,209;6,974;73,927;25,620;;;
Ziano di Fiemme;04022226;Comune;401,031;;171,772;11,962;44,023;22,997;62,063;18,887;6,091;5,721;88,059;;;;


			



