Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Vermiglio;04022213;Comune;328,090;;139,040;4,969;37,420;49,258;43,978;16,534;;5,781;144,872;;;;
Vervo;04022214;Comune;74,361;;52,302;6,997;24,041;10,975;22,029;6,378;;0,770;23,719;;;;
Vezzano;04022215;Comune;186,147;;147,242;7,100;33,479;33,618;69,107;13,761;;2,781;84,724;;;;
Vignola-Falesina;04022216;Comune;29,274;;15,084;0,708;3,241;1,963;3,837;1,623;;0,347;9,592;;;;
Vigo di Fassa;04022217;Comune;212,943;;153,511;6,362;44,436;59,281;95,877;8,471;;1,597;32,769;;;;
Vigo Rendena;04022220;Comune;35,038;;24,173;0,954;6,465;3,849;9,746;2,272;;1,204;19,412;;;;
Vigolo Vattaro;04022219;Comune;312,188;;158,994;8,814;44,348;25,316;42,484;15,556;;2,168;107,400;;;;
Villa Agnedo;04022221;Comune;60,924;;41,087;5,078;15,865;9,388;33,775;7,646;;0,367;22,003;;;;
Villa Lagarina;04022222;Comune;394,724;;248,634;12,927;65,885;40,377;81,045;25,928;;7,903;174,175;;;;
Villa Rendena;04022223;Comune;39,275;;27,096;2,267;7,247;4,315;10,925;2,758;;1,350;21,759;;;;
Volano;04022224;Comune;427,227;;195,366;10,881;76,854;43,016;69,544;21,192;;5,129;138,034;;;;
Zambana;04022225;Comune;219,986;;118,690;3,962;18,950;19,953;55,875;14,142;;4,928;53,251;;;;
Ziano di Fiemme;04022226;Comune;353,720;;183,066;9,112;31,271;31,147;104,696;14,898;;4,204;66,386;;;;
Zuclo;04022227;Comune;40,993;;28,282;1,202;7,564;4,503;11,402;2,659;;1,409;22,712;;;;


			



